Observation,Reward
"[4.099541114023459e-06, -1.4176844828694959e-06, 1.000022509998263, 4.512583400692578e-05, -5.99905697070002e-06, 0.00014007619017992448]",-4.337749028993915e-06
"[4.312603485391173e-06, -1.4305546702638427e-06, 1.0000231140292242, 5.11349691282514e-05, -3.0888449746432447e-06, 0.0001449674306938905]",-4.543680830210435e-06
"[4.575785275903302e-06, -1.4511814361514888e-06, 1.0000236232839095, 6.316362972291087e-05, -4.950423813035053e-06, 0.00012222112445135387]",-4.800389406267387e-06
"[4.8832891587947026e-06, -1.4823391193681687e-06, 1.000024146346564, 7.38009318939363e-05, -7.477843972003139e-06, 0.00012553503710454415]",-5.1033167913829406e-06
"[5.179865949470628e-06, -1.5132127112765751e-06, 1.0000248320247567, 7.117842976222208e-05, -7.409662058017559e-06, 0.00016456276623826193]",-5.396371370101788e-06
"[5.441887275015677e-06, -1.5511439211566186e-06, 1.0000254199710084, 6.288511813081185e-05, -9.1034903712104e-06, 0.000141107100379713]",-5.658638049753552e-06
"[5.730206903749286e-06, -1.6056849460356808e-06, 1.0000260199597781, 6.919671089606629e-05, -1.3089845970974922e-05, 0.0001439973047207214]",-5.950923903538138e-06
"[6.0620239863426444e-06, -1.6640914071338254e-06, 1.00002671504004, 7.963609982240592e-05, -1.401755066355471e-05, 0.00016681926283487018]",-6.286281494038443e-06
"[6.403643896796794e-06, -1.7249674177879868e-06, 1.0000274232889845, 8.198877850899593e-05, -1.4610242556998747e-05, 0.0001699797467137373]",-6.631905288030958e-06
"[6.729068881024611e-06, -1.7772979936775503e-06, 1.0000279448866376, 7.810199621467623e-05, -1.255933821349524e-05, 0.00012518343672469304]",-6.959824434847768e-06
"[7.037532190424909e-06, -1.8386477191693622e-06, 1.0000287265138592, 7.403119425607155e-05, -1.4723934118034859e-05, 0.00018759053319919802]",-7.273753141705698e-06
"[7.298909447503378e-06, -1.9064190605563507e-06, 1.0000296801504955, 6.273054169883244e-05, -1.6265121932877248e-05, 0.0002288727927400498]",-7.543773111467936e-06
"[7.51241069366999e-06, -1.9884880078868036e-06, 1.0000303603496998, 5.124029907998708e-05, -1.969654735930868e-05, 0.00016324780904524916]",-7.771125979411018e-06
"[7.76999929697648e-06, -2.0830158514385723e-06, 1.0000308682271137, 6.182126479355745e-05, -2.2686682452424456e-05, 0.00012189057934850146]",-8.0443672288353e-06
"[8.078462945150227e-06, -2.1654706333429966e-06, 1.0000313701165058, 7.403127556169947e-05, -1.9789147657061863e-05, 0.0001204534541065079]",-8.363661077544702e-06
"[8.419425761175261e-06, -2.23435523099788e-06, 1.0000319839414622, 8.183107584600815e-05, -1.6532303437171955e-05, 0.00014731798951499392]",-8.710859512483782e-06
"[8.737304611828131e-06, -2.3081041970839323e-06, 1.0000323995022815, 7.629092415668895e-05, -1.7699751860652595e-05, 9.973459665863141e-05]",-9.037025886013031e-06
